chr	start	end	pos.hg38
chr1	155245058	155245078	155245068
chr1	33255623	33255643	33255633
chr1	224503563	224503583	224503573
chr1	111200388	111200408	111200398
chr1	24965404	24965424	24965414
chr1	31058372	31058392	31058382
chr1	1165958	1165978	1165968
chr1	8871066	8871086	8871076
chr1	24931046	24931066	24931056
chr1	1362186	1362206	1362196
chr1	25618211	25618231	25618221
chr1	24535208	24535228	24535218
chr1	94021329	94021349	94021339
chr1	35576827	35576847	35576837
chr1	24535104	24535124	24535114
chr1	111473954	111473974	111473964
chr2	112182822	112182842	112182832
chr2	43171022	43171042	43171032
chr2	127700697	127700717	127700707
chr2	73059350	73059370	73059360
chr2	86825273	86825293	86825283
chr2	86792713	86792733	86792723
chr2	100394297	100394317	100394307
chr2	66437818	66437838	66437828
chr2	38666099	38666119	38666109
chr2	218881016	218881036	218881026
chr2	166126405	166126425	166126415
chr3	13548934	13548954	13548944
chr3	107525889	107525909	107525899
chr3	8629665	8629685	8629675
chr3	196220040	196220060	196220050
chr3	129603684	129603704	129603694
chr3	13548929	13548949	13548939
chr3	184579582	184579602	184579592
chr3	129558468	129558488	129558478
chr3	13021655	13021675	13021665
chr4	1316080	1316100	1316090
chr4	14856656	14856676	14856666
chr4	121070507	121070527	121070517
chr5	37835777	37835797	37835787
chr5	149430604	149430624	149430614
chr6	31900169	31900189	31900179
chr6	170137630	170137650	170137640
chr6	44561211	44561231	44561221
chr6	6614476	6614496	6614486
chr6	45424105	45424125	45424115
chr6	111973319	111973339	111973329
chr6	31730439	31730459	31730449
chr6	31575851	31575871	31575861
chr6	161375808	161375828	161375818
chr6	161375812	161375832	161375822
chr7	5231287	5231307	5231297
chr7	26153479	26153499	26153489
chr7	2908479	2908499	2908489
chr7	5563484	5563504	5563494
chr7	1000311	1000331	1000321
chr7	2000464	2000484	2000474
chr7	159023448	159023468	159023458
chr8	143934110	143934130	143934120
chr8	109574916	109574936	109574926
chr8	41623110	41623130	41623120
chr8	103141389	103141409	103141399
chr9	36985999	36986019	36986009
chr9	136758375	136758395	136758385
chr10	113151846	113151866	113151856
chr10	119370231	119370251	119370241
chr10	131766292	131766312	131766302
chr10	79067027	79067047	79067037
chr10	70675535	70675555	70675545
chr10	113151883	113151903	113151893
chr10	45463427	45463447	45463437
chr10	92789273	92789293	92789283
chr10	48672544	48672564	48672554
chr11	3203819	3203839	3203829
chr11	66316285	66316305	66316295
chr11	66316216	66316236	66316226
chr11	64868292	64868312	64868302
chr11	46345253	46345273	46345263
chr11	61065896	61065916	61065906
chr11	46345280	46345300	46345290
chr11	68371755	68371775	68371765
chr11	67286348	67286368	67286358
chr11	61357878	61357898	61357888
chr11	2266494	2266514	2266504
chr11	46345317	46345337	46345327
chr11	1556766	1556786	1556776
chr11	66316092	66316112	66316102
chr11	67304165	67304185	67304175
chr11	45093281	45093301	45093291
chr11	128840217	128840237	128840227
chr11	72590670	72590690	72590680
chr12	121582290	121582310	121582300
chr12	108630013	108630033	108630023
chr12	57478330	57478350	57478340
chr12	55935847	55935867	55935857
chr12	6778859	6778879	6778869
chr12	124755247	124755267	124755257
chr12	128814907	128814927	128814917
chr12	130826473	130826493	130826483
chr12	51684968	51684988	51684978
chr12	10312663	10312683	10312673
chr12	98593099	98593119	98593109
chr12	122730307	122730327	122730317
chr12	1590835	1590855	1590845
chr13	110676426	110676446	110676436
chr13	40188288	40188308	40188298
chr13	24511153	24511173	24511163
chr13	40188003	40188023	40188013
chr13	109733819	109733839	109733829
chr14	102210794	102210814	102210804
chr14	99321212	99321232	99321222
chr14	93114694	93114714	93114704
chr14	23117593	23117613	23117603
chr14	99245989	99246009	99245999
chr14	23155144	23155164	23155154
chr14	101710324	101710344	101710334
chr14	99246033	99246053	99246043
chr15	70486997	70487017	70487007
chr15	90884608	90884628	90884618
chr15	41968946	41968966	41968956
chr15	91912418	91912438	91912428
chr16	89931471	89931491	89931481
chr16	4664783	4664803	4664793
chr16	31331621	31331641	31331631
chr16	88921817	88921837	88921827
chr16	4664804	4664824	4664814
chr16	87701640	87701660	87701650
chr16	85947757	85947777	85947767
chr16	85947720	85947740	85947730
chr16	88840766	88840786	88840776
chr17	82243088	82243108	82243098
chr17	3590362	3590382	3590372
chr17	80812545	80812565	80812555
chr17	39618630	39618650	39618640
chr17	40561013	40561033	40561023
chr17	81452760	81452780	81452770
chr17	41973632	41973652	41973642
chr17	40560980	40561000	40560990
chr17	78258038	78258058	78258048
chr17	81453109	81453129	81453119
chr17	78134405	78134425	78134415
chr17	65562131	65562151	65562141
chr17	43927349	43927369	43927359
chr18	79524732	79524752	79524742
chr18	79497342	79497362	79497352
chr19	40434265	40434285	40434275
chr19	8515440	8515460	8515450
chr19	54242754	54242774	54242764
chr19	51368627	51368647	51368637
chr19	38727071	38727091	38727081
chr19	12943610	12943630	12943620
chr20	53740362	53740382	53740372
chr20	53875660	53875680	53875670
chr20	19886482	19886502	19886492
chr21	44206598	44206618	44206608
chr22	24427536	24427556	24427546
chr22	21937859	21937879	21937869
chr22	21938736	21938756	21938746
chr1	160647324	160647344	160647334
chr1	111200736	111200756	111200746
chr1	112697013	112697033	112697023
chr1	8926965	8926985	8926975
chr1	8643747	8643767	8643757
chr1	8422619	8422639	8422629
chr1	160647292	160647312	160647302
chr1	206971012	206971032	206971022
chr1	15065927	15065947	15065937
chr1	151833175	151833195	151833185
chr1	160739187	160739207	160739197
chr1	228136309	228136329	228136319
chr1	160739190	160739210	160739200
chr1	13702973	13702993	13702983
chr1	162530834	162530854	162530844
chr1	22056695	22056715	22056705
chr1	2230552	2230572	2230562
chr1	26734010	26734030	26734020
chr1	110872600	110872620	110872610
chr1	160523061	160523081	160523071
chr1	198621598	198621618	198621608
chr1	167439951	167439971	167439961
chr1	7842702	7842722	7842712
chr1	167454718	167454738	167454728
chr1	6294990	6295010	6295000
chr1	1360703	1360723	1360713
chr1	8420893	8420913	8420903
chr1	149931413	149931433	149931423
chr1	236399760	236399780	236399770
chr1	224377158	224377178	224377168
chr1	154327755	154327775	154327765
chr1	160647070	160647090	160647080
chr1	111200568	111200588	111200578
chr1	8407834	8407854	8407844
chr1	28195019	28195039	28195029
chr1	66333726	66333746	66333736
chr1	224182443	224182463	224182453
chr1	92487088	92487108	92487098
chr1	111200639	111200659	111200649
chr1	225848568	225848588	225848578
chr1	160837894	160837914	160837904
chr1	24965045	24965065	24965055
chr1	15407779	15407799	15407789
chr2	86785677	86785697	86785687
chr2	105821654	105821674	105821664
chr2	216492426	216492446	216492436
chr2	241859847	241859867	241859857
chr2	85324717	85324737	85324727
chr2	74037570	74037590	74037580
chr2	190407239	190407259	190407249
chr2	98664457	98664477	98664467
chr2	86807067	86807087	86807077
chr2	98664490	98664510	98664500
chr2	27573108	27573128	27573118
chr2	239138225	239138245	239138235
chr2	230225806	230225826	230225816
chr2	241859937	241859957	241859947
chr2	86821614	86821634	86821624
chr2	37190856	37190876	37190866
chr2	239275063	239275083	239275073
chr2	239369952	239369972	239369962
chr2	239369804	239369824	239369814
chr2	85053995	85054015	85054005
chr2	241845554	241845574	241845564
chr2	66437393	66437413	66437403
chr2	203705222	203705242	203705232
chr2	239164472	239164492	239164482
chr2	86791825	86791845	86791835
chr2	86791811	86791831	86791821
chr2	105796543	105796563	105796553
chr2	42217677	42217697	42217687
chr2	27576534	27576554	27576544
chr2	207152189	207152209	207152199
chr2	26788972	26788992	26788982
chr2	85694150	85694170	85694160
chr2	68365252	68365272	68365262
chr2	102417329	102417349	102417339
chr2	134289800	134289820	134289810
chr2	15120321	15120341	15120331
chr2	201183367	201183387	201183377
chr2	219249557	219249577	219249567
chr2	68365595	68365615	68365605
chr2	33134279	33134299	33134289
chr2	193383	193403	193393
chr2	68734455	68734475	68734465
chr2	144521231	144521251	144521241
chr2	86792479	86792499	86792489
chr2	86815538	86815558	86815548
chr2	85694396	85694416	85694406
chr2	193246	193266	193256
chr2	86791833	86791853	86791843
chr2	86821356	86821376	86821366
chr2	86809867	86809887	86809877
chr2	230878009	230878029	230878019
chr2	28286693	28286713	28286703
chr2	86792059	86792079	86792069
chr2	86788680	86788700	86788690
chr2	9470482	9470502	9470492
chr2	68734353	68734373	68734363
chr2	86793804	86793824	86793814
chr2	8283015	8283035	8283025
chr2	177252253	177252273	177252263
chr3	151330608	151330628	151330618
chr3	187020522	187020542	187020532
chr3	38950699	38950719	38950709
chr3	172513728	172513748	172513738
chr3	48269397	48269417	48269407
chr3	129119497	129119517	129119507
chr3	130974974	130974994	130974984
chr3	107987388	107987408	107987398
chr3	108301870	108301890	108301880
chr3	45133919	45133939	45133929
chr3	13548840	13548860	13548850
chr3	46202598	46202618	46202608
chr3	53328928	53328948	53328938
chr3	151330539	151330559	151330549
chr3	24683864	24683884	24683874
chr3	194138277	194138297	194138287
chr3	66387022	66387042	66387032
chr3	4984190	4984210	4984200
chr3	112975205	112975225	112975215
chr3	129441282	129441302	129441292
chr3	13548905	13548925	13548915
chr3	179037399	179037419	179037409
chr3	71062762	71062782	71062772
chr3	15645754	15645774	15645764
chr3	121772525	121772545	121772535
chr3	188397538	188397558	188397548
chr3	24508002	24508022	24508012
chr3	50339034	50339054	50339044
chr3	188951141	188951161	188951151
chr3	152458219	152458239	152458229
chr3	32239464	32239484	32239474
chr3	187020572	187020592	187020582
chr3	146551329	146551349	146551339
chr3	39347258	39347278	39347268
chr4	89305913	89305933	89305923
chr4	88525248	88525268	88525258
chr4	149885121	149885141	149885131
chr4	56654962	56654982	56654972
chr4	40243490	40243510	40243500
chr4	98377769	98377789	98377779
chr4	56648651	56648671	56648661
chr4	74308477	74308497	74308487
chr4	7655744	7655764	7655754
chr4	98663800	98663820	98663810
chr4	7655971	7655991	7655981
chr4	169274277	169274297	169274287
chr4	36255647	36255667	36255657
chr4	477591	477611	477601
chr4	2954890	2954910	2954900
chr4	145935851	145935871	145935861
chr4	7655566	7655586	7655576
chr4	2320220	2320240	2320230
chr5	1503470	1503490	1503480
chr5	134070849	134070869	134070859
chr5	115873400	115873420	115873410
chr5	139657728	139657748	139657738
chr5	75320915	75320935	75320925
chr5	96691664	96691684	96691674
chr5	157269169	157269189	157269179
chr5	157268390	157268410	157268400
chr5	113020582	113020602	113020592
chr5	139670820	139670840	139670830
chr5	140183278	140183298	140183288
chr5	39167059	39167079	39167069
chr5	82174227	82174247	82174237
chr5	178115592	178115612	178115602
chr5	1097249	1097269	1097259
chr5	39202945	39202965	39202955
chr5	134070841	134070861	134070851
chr5	177471662	177471682	177471672
chr5	179803856	179803876	179803866
chr5	179803699	179803719	179803709
chr6	170375201	170375221	170375211
chr6	3524336	3524356	3524346
chr6	46325987	46326007	46325997
chr6	6588832	6588852	6588842
chr6	170293388	170293408	170293398
chr6	44236262	44236282	44236272
chr6	108967379	108967399	108967389
chr6	6588688	6588708	6588698
chr6	127346536	127346556	127346546
chr6	34341093	34341113	34341103
chr6	71342090	71342110	71342100
chr6	111759889	111759909	111759899
chr6	2973835	2973855	2973845
chr6	35451804	35451824	35451814
chr6	24936727	24936747	24936737
chr6	17702219	17702239	17702229
chr6	11212376	11212396	11212386
chr6	98925927	98925947	98925937
chr6	118581874	118581894	118581884
chr6	35602437	35602457	35602447
chr6	135323257	135323277	135323267
chr6	142913037	142913057	142913047
chr6	106666709	106666729	106666719
chr6	26545818	26545838	26545828
chr6	161375743	161375763	161375753
chr6	45423898	45423918	45423908
chr6	30737022	30737042	30737032
chr6	118558936	118558956	118558946
chr7	139648540	139648560	139648550
chr7	106871286	106871306	106871296
chr7	131108782	131108802	131108792
chr7	149284485	149284505	149284495
chr7	30348328	30348348	30348338
chr7	129699215	129699235	129699225
chr7	159023512	159023532	159023522
chr7	38317436	38317456	38317446
chr7	38317118	38317138	38317128
chr7	2037700	2037720	2037710
