chr	start	end	uniq_id	type
chr1	1165958	1165978	cg13449535	blood
chr1	1179522	1179542	cg07841371	cord_blood
chr1	1222247	1222267	cg10206039	cord_blood
chr1	1360703	1360723	cg13354934	blood
chr1	1362186	1362206	cg15492552	blood
chr1	2146668	2146688	cg10334053	cord_blood
chr1	2153070	2153090	cg04347414	cord_blood
chr1	2230552	2230572	cg08884752	blood
chr1	2523256	2523276	cg24955743	cord_blood
chr1	2524987	2525007	cg00295182	cord_blood
chr1	2540684	2540704	cg17806162	cord_blood
chr1	3033077	3033097	cg19825898	cord_blood
chr1	3033099	3033119	cg24150662	cord_blood
chr1	3666759	3666779	cg15819225	cord_blood
chr1	5994797	5994817	cg00702417	epithelial
chr1	6007924	6007944	cg09556918	cord_blood
chr1	6294990	6295010	cg13209388	blood
chr1	6330403	6330423	cg18167466	epithelial
chr1	6330723	6330743	cg00081799	epithelial
chr1	7402106	7402126	cg08923594	epithelial
chr1	7632297	7632317	cg06800235	epithelial
chr1	7645686	7645706	cg23889047	cord_blood
chr1	7842702	7842722	cg11978441	blood
chr1	7931089	7931109	cg16117781	epithelial
chr1	8407834	8407854	cg19679865	blood
chr1	8410652	8410672	cg00786138	cord_blood
chr1	8420893	8420913	cg13400249	blood
chr1	8422619	8422639	cg01447281	blood
chr1	8643747	8643767	cg01024458	blood
chr1	8871066	8871086	cg13785123	blood
chr1	8926965	8926985	cg01002223	blood
chr1	8971193	8971213	cg04785083	epithelial
chr1	9443980	9444000	cg10992465	epithelial
chr1	9559814	9559834	cg23824902	cord_blood
chr1	9715917	9715937	cg11947782	cord_blood
chr1	9729097	9729117	cg07970040	cord_blood
chr1	9729106	9729126	cg04340595	cord_blood
chr1	11952653	11952673	cg15472170	cord_blood
chr1	13702973	13702993	cg08425678	blood
chr1	14742460	14742480	cg00101629	cord_blood
chr1	15065927	15065947	cg03538296	blood
chr1	15407779	15407799	cg27582527	blood
chr1	15412226	15412246	cg25978218	cord_blood
chr1	16139875	16139895	cg07959609	epithelial
chr1	16146974	16146994	cg21647035	epithelial
chr1	17181836	17181856	cg23013029	epithelial
chr1	21050130	21050150	cg26561681	cord_blood
chr1	21069835	21069855	cg08539965	cord_blood
chr1	21239252	21239272	cg17850498	cord_blood
chr1	21325795	21325815	cg16416158	cord_blood
chr1	22056695	22056715	cg08608952	blood
chr1	23554235	23554255	cg02978140	cord_blood
chr1	23561316	23561336	cg18150584	cord_blood
chr1	24535104	24535124	cg20146241	blood
chr1	24535208	24535228	cg18128887	blood
chr1	24927587	24927607	cg05656688	cord_blood
chr1	24931046	24931066	cg15014975	blood
chr1	24965045	24965065	cg27058497	blood
chr1	24965404	24965424	cg09993145	blood
chr1	25618211	25618231	cg16836311	blood
chr1	25890767	25890787	cg06631999	epithelial
chr1	26734010	26734030	cg09849688	blood
chr1	26821084	26821104	cg15497006	cord_blood
chr1	27635516	27635536	cg00065048	cord_blood
chr1	27887279	27887299	cg11176159	epithelial
chr1	28195019	28195039	cg20460771	blood
chr1	30757989	30758009	cg24459792	epithelial
chr1	31058372	31058392	cg12297231	blood
chr1	31483548	31483568	cg24401262	cord_blood
chr1	31575441	31575461	cg09070415	epithelial
chr1	31575994	31576014	cg10530055	epithelial
chr1	31670219	31670239	cg25621182	epithelial
chr1	31889473	31889493	cg07222861	epithelial
chr1	33255623	33255643	cg03767970	blood
chr1	35120061	35120081	cg13254203	cord_blood
chr1	35576827	35576847	cg19163067	blood
chr1	36400834	36400854	cg26653824	cord_blood
chr1	37948375	37948395	cg01917259	cord_blood
chr1	41538032	41538052	cg22381248	cord_blood
chr1	42825153	42825173	cg11987455	cord_blood
chr1	43822282	43822302	cg23290313	epithelial
chr1	43992319	43992339	cg11134246	cord_blood
chr1	44327898	44327918	cg22709362	epithelial
chr1	44617022	44617042	cg24591770	epithelial
chr1	44617158	44617178	cg20820767	epithelial
